symbol,quantity,pnl,timestamp
HDFC,66,3177.81,2025-07-14 23:01:45
RELIANCE,-6,1136.39,2025-07-14 22:47:26
INFY,33,-3097.36,2025-07-14 23:12:11
HDFC,-76,-4147.21,2025-07-14 23:30:32
RELIANCE,-24,2333.88,2025-07-14 22:35:11
TCS,-69,3747.13,2025-07-14 23:06:11
RELIANCE,33,12.09,2025-07-14 23:08:05
ICICIBANK,-20,1195.81,2025-07-14 22:48:25
ONGC,91,720.24,2025-07-14 22:32:26
ICICIBANK,-37,-4486.95,2025-07-14 22:55:29
RELIANCE,87,2948.39,2025-07-14 23:11:51
ICICIBANK,65,2254.69,2025-07-14 22:57:43
BANKNIFTY,26,821.76,2025-07-14 22:56:24
TCS,46,3334.51,2025-07-14 23:14:50
INFY,60,4062.77,2025-07-14 22:31:26
RELIANCE,24,4748.2,2025-07-14 22:51:30
ONGC,39,3872.6,2025-07-14 22:38:57
ITC,-12,516.09,2025-07-14 22:45:00
SBIN,83,-4188.01,2025-07-14 23:30:55
BANKNIFTY,-12,-4321.84,2025-07-14 23:18:25
TCS,75,3918.5,2025-07-14 22:53:06
TCS,48,-4122.27,2025-07-14 22:42:21
BANKNIFTY,-4,2929.15,2025-07-14 23:16:39
ONGC,-36,413.74,2025-07-14 23:17:58
INFY,87,2637.26,2025-07-14 23:10:36
INFY,-40,2505.79,2025-07-14 22:56:17
BANKNIFTY,43,2112.42,2025-07-14 23:26:41
ICICIBANK,-18,-4026.5,2025-07-14 23:25:18
ONGC,-69,-263.66,2025-07-14 22:54:08
BANKNIFTY,-42,2294.55,2025-07-14 23:17:04
RELIANCE,30,2931.8,2025-07-14 23:03:10
HDFC,-81,2041.09,2025-07-14 22:34:05
RELIANCE,-11,1688.38,2025-07-14 22:51:32
RELIANCE,-5,-654.32,2025-07-14 23:21:06
INFY,93,2361.64,2025-07-14 23:05:09
RELIANCE,45,-4533.17,2025-07-14 22:33:32
ONGC,80,-606.89,2025-07-14 22:39:49
SBIN,91,-77.22,2025-07-14 22:39:03
NIFTY,-95,514.96,2025-07-14 22:47:02
SBIN,-99,2638.15,2025-07-14 22:44:21
ICICIBANK,-79,4999.77,2025-07-14 22:42:48
ICICIBANK,-42,-4441.51,2025-07-14 23:23:18
ITC,-23,1845.94,2025-07-14 22:57:41
NIFTY,34,2697.82,2025-07-14 22:48:15
ICICIBANK,99,-3698.15,2025-07-14 23:16:53
ICICIBANK,50,-4129.9,2025-07-14 23:12:41
BANKNIFTY,-53,-1424.06,2025-07-14 22:45:22
TCS,-75,3031.95,2025-07-14 22:40:29
NIFTY,-42,-1020.02,2025-07-14 23:01:09
INFY,19,1245.91,2025-07-14 22:59:04
