symbol,quantity,pnl,timestamp
ITC,69,-4565.43,2025-07-14 22:42:54
RELIANCE,52,-1651.74,2025-07-14 23:21:37
SBIN,-52,744.77,2025-07-14 23:23:42
NIFTY,96,922.2,2025-07-14 22:34:40
ITC,-50,4177.12,2025-07-14 23:15:54
HDFC,71,797.02,2025-07-14 23:13:43
TCS,-30,-153.27,2025-07-14 22:58:54
TCS,69,429.36,2025-07-14 23:01:27
BANKNIFTY,37,-1443.75,2025-07-14 23:01:18
BANKNIFTY,12,-690.75,2025-07-14 22:48:29
ONGC,50,3567.43,2025-07-14 23:14:13
BANKNIFTY,-80,-4386.4,2025-07-14 22:42:24
NIFTY,1,1152.84,2025-07-14 23:13:08
HDFC,63,4447.25,2025-07-14 22:58:49
ONGC,-6,2056.1,2025-07-14 23:18:59
TCS,56,-2918.49,2025-07-14 22:41:43
SBIN,3,-580.48,2025-07-14 22:53:49
SBIN,-95,-1728.14,2025-07-14 23:28:50
ITC,3,1807.01,2025-07-14 23:09:14
BANKNIFTY,-35,1349.19,2025-07-14 22:55:52
NIFTY,-16,3712.65,2025-07-14 22:57:41
RELIANCE,98,-197.0,2025-07-14 23:22:23
BANKNIFTY,100,483.02,2025-07-14 23:16:31
SBIN,57,-3875.84,2025-07-14 23:23:56
SBIN,-27,1431.75,2025-07-14 23:22:07
INFY,33,-3976.03,2025-07-14 23:06:34
ONGC,-52,-1903.54,2025-07-14 23:30:30
HDFC,18,2572.97,2025-07-14 22:33:00
ITC,65,-4187.41,2025-07-14 23:27:25
NIFTY,39,4563.84,2025-07-14 22:55:21
ICICIBANK,23,-4976.96,2025-07-14 23:03:05
TCS,-44,-802.91,2025-07-14 23:03:05
ONGC,7,-4321.35,2025-07-14 23:30:39
NIFTY,84,-1001.16,2025-07-14 22:45:03
BANKNIFTY,42,-3940.96,2025-07-14 22:36:42
BANKNIFTY,61,-1888.91,2025-07-14 22:33:17
TCS,26,-2794.1,2025-07-14 23:08:41
INFY,58,-4494.31,2025-07-14 22:48:51
ICICIBANK,23,622.63,2025-07-14 23:27:45
ITC,12,-2359.79,2025-07-14 23:24:11
TCS,64,1057.23,2025-07-14 23:27:28
SBIN,97,1500.64,2025-07-14 22:48:10
ITC,65,1205.22,2025-07-14 22:53:00
